,Zedd
11,"Stars fall at my feet, keep me grounded as I reach. Higher than I see, is there something there for me?. Pulling back the reins, letting go again. I'm not afraid, I'm notAll my life, one page at a time. I'll show you my, my true colors. No I won't apologize for the fire in my eyes. Let me show you my, my true colors, it ain't no rainbowA promise with the light, is broken by design. What we thought we knew, has been swallowed by the truth. It's time to light the flame, right before it rains. I'm not afraid, I'm notAll my life, one page at a time. I'll show you my, my true colors. No I won't apologize for the fire in my eyes. Let me show you my, my true colors, it ain't no rainbowSomething tells me, I know nothing at all. We've escaped our capture. Yet we have our masters. And somehow it's like I've waitedAll my life, one page at a time. I'll show you my, my true colors. No I won't apologize for the fire in my eyes. Let me show you my, my true colors, it ain't no rainbow"
12,Breathing you in when I want you out. Finding our truth in a hope of doubt. Lying inside our quiet dramaWearing your heart like a stolen dream. Opening skies with your broken keys. No one can blind us any longerWe'll run where lights won't chase us. Hide where love can save us. I will never let you goWe'll run where lights won't chase us. Hide where love can save us. I will never let you goWe can exist on an empty stage. We don't need sound to invent our sake. Healing us blank into a cornerTracing the skin that defends your faceWrestle the walls that pretend they're safe. Soak in the sand that pulls us underWe'll run where lights won't chase us. Hide where love can save us. I will never let you goWe'll run where lights won't chase us. Hide where love can save us. I will never let you goI will never let you go. I will never let you. I will never let you go. I will never let you. I will never let you goI will never let you go
13,"Chained to a love, but that don't mean much. Sensitive tough, don't get enough. I've been drowning in you, lost in the rush. Faded you're stuck, I'll help you upDon't care if you're too loud. Sexy, I want you now. Bet I could take you there. Whisper it in your ear. What do you wanna feel?. Let's just enjoy the thrill. I'll take a breath of air and give you the touch you're missingGet low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climb. Get low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climbBeautiful as you are, I wanna light up your dark. Maybe you don't believe in me, it's hard to know what you see in meDon't be quick to say no. My chest is your pillow. Come out of the shadows. I know that you're fragileDon't care if you're too loud. Sexy, I want you now. Bet I could take you there. Whisper it in your ear. What do you wanna feel?. Let's just enjoy the thrill. I'll take a breath of air and give you the touch you're missingGet low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climb. Get low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climbI like the way you take me there. I like the way you touch yourself. Don't hold back, I want that. When the water come down, I'ma get in thatGet low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climbI'm right here, you know, when your waves explode. Escape the undertow. Know that you've been broken. Know that you've been hoping. Swimming in your ocean. Your new life is floating. The stars are made to shine. Reach up and make a wish. It's a beautiful time, I hope you take a glimpse. With a sound, our love is blowing crazy in the wind. You don't have to pretend. I don't care where you've beenGet low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climb. Get low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climbI like the way you take me there. I like the way you touch yourself. Don't hold back, I want that. When the water come down, I'ma get in thatGet low, get low. Hands on your waist, let's go. Get low, get low. Girl you got the vibe, I'm up for the climb. Get low"
14,"Days go by my window. World slows down as it goes. Goodbye to last night. Lost love out of sight. Can't you help me see?. (They won't get right)Lovin' every minute cause you make me feel so alive, alive. Lovin' every minute cause you make me feel so alive, alive, alive, alive. Lovin' every minute cause you make me feel so aliveWakin' in the snow. Tracin' steps with you. Swimmin' through the smoke. Wrapped in velvet coat. Can't you help me see?. (They won't get right)Lovin' every minute cause you make me feel so alive, alive. Lovin' every minute cause you make me feel so alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive, alive(They won't get right)Cause you make me feel so alive,. alive, alive, alive, alive, alive, alive, alive"
15,"There's a fire that burns inside. It's an instinct that never lies. The target's tattooed between our eyesStand and fight. Under the lights on the high stage. A part of your life it can't take away. Just like the blood running through your veinsEveryone's watching through your eyes. There's only two options. Win or die, win or die. Win or die, die, die, die, die. It went from a spark to an open flame. Now destiny's calling out your name. So reply, so replyAnd ignite. Ignite. Ignite. IgniteThere's a power that's underneath. And you can't see it 'til you believe. On the edge of infinityFeel the rush. Under the lights on the high stage. A part of your life it can take away. Just like the blood running through your veinsEveryone's watching through your eyes. There's only two options. Win or die, win or die. Win or die, die, die, die, die. It went from a spark to an open flame. Now destiny's calling out your name. So reply, so replyAnd ignite. Ignite. Ignite. Ignite. It went from a spark to an open flame. Now destiny's calling out your name. So ignite, so ignite"
16,"Take your dark days and send them to the sun and carry on, carry on. To every lover who ever did you wrong, move along, move along. To every dream that drowned this dream and made you small inside. Take your dark days and send them to the sun and carry onand Let it go 'til you let go of all the anger. And all the words that made you hurt will burn like paper. Straight into the fire, straight into the fire. And let it go until the smoke is gone foreverCrack the windows and take the shutters down and carry on, carry on. Take just one seed and put it in the ground and move along, move along. Cause it's easy to hold on, but so hard to forgive. So take the dark days and send them to the sun and carry onand Let it go 'til you let go of all the anger. And all the words that made you hurt will burn like paper. Straight into the fire, straight into the fire. And let it go until the smoke is gone foreverI will not rest until I see. The other side. I will not rest until I learn. To say goodbye"
17,"Daisy, always climbing up the same tree. Finding love in all the wrong scenes. Daisy, you got me. Daisy, always walking down the wrong streets. Starting fires out of dead weeds. Daisy, you got meLet me show you how a kiss should taste. Trust me, I won't give your heart away. Why you running, running when you got it right here?. Oh, I would love you if you let meDaisy, always dancing to the same beat. Broken records stuck on repeat. Daisy, you got me. Daisy, don't you know that you're amazing?. Broken hearts just keeps on breaking, Daisy. I would take the light out the stars to help you see. Anything to guide you straight to meLet me show you how a kiss should taste. Trust me, I won't give your heart away. Why you running, running when you got it right here?. Oh, I would love you if you let meLet me show you how a kiss should taste. Trust me, I won't give your heart away. Why you running, running when you got it right here?. Oh, I would love you if you let me. I won't give your heart away. Why you running, running when you got it right here?"
18,Living for tomorrow. Lost within a dream. Tryna find the answer to the question. And it seems that love makes the world feel goodSinging in the moonlight. Dancing in the rain. Let the sunshine through to lift your spirit once again. Cause love makes the world feel goodChasing after rainbows. Somewhere in the skyAnd it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so goodRiding on the rhythm. Of hearts that beat as one. This feels like forever and we've only just begun. Cause love makes the world feel goodHolding on the memories. Cause smiles are still alive. Looking to the future and there's happiness in sight. Cause love makes the world feel goodWalking through my past life. Where the days are full of joyAnd it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so good. Oh yeah. And it feels so good
19,Breathing you in when I want you out. Finding our truth in a hope of doubt. Lying inside our quiet dramaWearing your heart like a stolen dream. Opening skies with your broken keys. No one can blind us any longerWe'll run where lights won't chase us. Hide where love can save us. I will never let you goWe'll run where lights won't chase us. Hide where love can save us. I will never let you goBreathing you in when I want you out. Finding our truth in a hope of doubt. Lying inside our quiet dramaBreathing you in when I want you out. Finding our truth in a hope of doubt. Lying inside our quiet dramaWearing your heart like a stolen dream. Opening skies with your broken keys. No one can blind us any longerWe'll run where lights won't chase us. Hide where love can save us. I will never let you goWe'll run where lights won't chase us. Hide where love can save us. I will never let you go. We'll run where lights won't chase us. Hide where love can save us. I will never let you go. Breathing you in when I want you out. Finding our truth in a hope of doubt. Lying inside our quiet drama
20,This feeling is heavy. Makes my body ache and I'm ready to. Fall into the sky. I see now. The reason why. My heart is heavy. Takes me to the place I can't breath. Only then I know why I see. The warning sign
21,"I see what you're wearing, there's nothing beneath it. Forgive me for staring, forgive me for breathing. We might not know why, we might not know how. But baby, tonight, we're beautiful nowWe're beautiful now. We're beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. 'Cause baby, tonight, we're beautiful now, we're beautifulWe're beautifulWherever it's going, I'm gonna chase it. What's left of this moment, I'm not gonna waste it. Stranded together, our worlds have collided. This won't be forever, so why try to fight it?We're beautiful now. We're beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. 'Cause baby, tonight, we're beautiful now, we're beautifulWe're beautifulLet's live tonight like fireflies. And one by one light up the sky. We disappear and pass the crown. You're beautiful, you're beautifulWe're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautiful. We're beautiful, we're beautiful now. We're beautiful now. We're beautiful now. We're beautiful now. We're beautiful now, we're beautiful"
22,"Fading. So slow. Black Hole. I feel it slippin' away. We're all. We've got. If you're lost. I'm divin' in after you. I could touch the sun. I'd come undone. It's true. I'd fall. For youWherever you go. Whatever you do. You'd know I'll follow you down. Wherever you go. If ever you lose ground. I'll follow you down. Oooooh. I'll follow you downOoooohI'll follow youDownDownDown. Down. DownDownDownDown. DownWherever you go, whatever you do. You know I'll follow you downWherever you go, if ever you lose your ground. I'll follow you down. Oooooh. I'll follow you down. Oooooh. I'll follow you. You're lost. Worn out. Face down. Dont know where you're headed to. Right here. Right now. Somehow I'd light the way out for you. I would touch the sun. I'd come undone. It's true. I'd fall for you. Wherever you go. Whatever you do. You'd know I'll follow you down. Wherever you go. If ever you lose ground. I'll follow you down. Oooooh. I'll follow you down. Oooooh. I'll follow you. Down. Down. Down. Down. Down. Down. Down. Down. Wherever you go. Whatever you do. Wherever you go. Whatever you do. Wherever you go. Whatever you do. You'd know I'll follow you down. Wherever you go. If ever you lose ground. I'll follow you down"
23,"Don't slam the fucking door. Shit!Don't slam the fucking door. Shit!Listen, I'm going to give you a clue here now. I don't want any more bullshit anytime during the day, from anyone,. that includes me. It's going to be very hot, going to be very uncomfortable for everybody. Don't anybody yelling?. We get anybody yelling around here anymore today and then the shit is going to hit the fan. Why are... I just... lose stuff! Why can't I remember it?. Don't slam the fucking door. Don't slam the fucking door. Shit!"
24,"We are, we are a fallen chemistry. love has taken us as far as we can reach. but I can't leave. we are, we are imagine ecstasy. holding on to what we used to be. addicted to a memoryHolding on to what we used to be. addicted to a memoryOh, a memoryWe are, we are in-love enemies. we are sent and then all slaves will know get knees. we aren't empty. we were, we were one identity. now the trouble is remembering addicted to a memory"
25,"We're smart enough to know that no one gets out alive (never, ever). Hold on to someone close, friend. Cause you're never too young, you're never too young, never too young to die. Remember the ghosts before you, drink to the souls tonight. And don't forget what they told you. You're never too young, you're never too young, never too young to dieYou're never too young. You're never too, never too. No, you're never too young. Never, neverUh, tell me is it the day I made it?. Feel like the world is over, don't know why I've been created. I've been under pressure but nevertheless I know nothing can measure. Feeling outdated, everybody inebriated. Feel like I'm automated, I'm automated, I'm automated. No, never faded, but debated a visionary that made it. As it escalated, I elevated and feel like I read it again. Cause all of this, it just sounded the same in my mindWe're smart enough to know that no one gets out alive (never, ever). Hold on to someone close, friend. Cause you're never too young, you're never too young, never too young to die. Remember the ghosts before you, drink to the souls tonight. And don't forget what they told you. You're never too young, you're never too young, never too young to dieYou're never too young. You're never too, never too. No, you're never too young. Never, neverWe're smart enough to know that no one gets out alive (never, ever). Hold on to someone close, friend. Cause you're never too young, you're never too young, never too young to die. Remember the ghosts before you, and drink to the souls tonight. And don't forget what they told you. You're never too young, you're never too young, never too young to die"
26,"Stars fall at my feet, keep me grounded as I reach. Higher than I see, is there something there for me?. Pulling back the reins, letting go again. I'm not afraid, I'm notA promise with the light,. is broken by design. What we thought we knew,. has been swallowed by the truth. It's time to light the flame,. right before it rains. I'm not afraid, I'm not. All my life, one page at a time. I'll show you my, my true colors. No I won't apologize for the fire in my eyes. Let me show you my, my true colors, it ain't no rainbowIt ain't no rainbowRight before it rainsSomething tells me, I know nothing at all. We've escaped our capture. Yet we have our masters. And somehow it's like I've waited"
27,"It feels like the fairytale is over, I really wanted these pages to begin. With ""Once upon a time"" like all those lullabies. I should've known better, I'll admit it, I thought when I let you in. You were my shining knight from all those storiesThis love is your illusion, this love is your illusion. Take me to a place with real-life love. I need a break from this broken-down fantasy. Show me a place I can realize love, not your illusionIt feels like the fairytale is over, I really wanted these pages to begin. With ""Once upon a time"" like all those lullabies. I should've known better, I'll admit it, I thought when I let you in. You were my shining knight from all those storiesThis love is your illusion, this love is your illusion. Take me to a place with real-life love. I need a break from this broken-down fantasy. Show me a place I can realize love, not your illusion"
28,"Just an outline made of skin. And my walls are paper thin. I want to let you color me inFeel like I'm drowning from the sound. Of all the silence all around. My thoughts are gone. I'm going down. I'm turning inside outThis time I finally need a light, a light. Tired of seeing in black and white, whiteHaving flashes in my mind. Can't take the ticking of time. The time that's passing byThis time I finally need a light, a light. Tired of seeing in black and white, whiteHaving flashes in my mind. Can't take the ticking of time. The time that's passing byThis time I finally need a light, a light. Tired of seeing in black and white, whiteHaving flashes in my mind. Can't take the ticking of time. The time that's passing by"
29,"I see what you're wearing, there's nothing beneath it. Forgive me for staring, forgive me for breathing. We might not know why, we might not know how. But baby, tonight, we're beautiful nowWe're beautiful now. We're beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. Cause baby, tonight, we're beautiful now, we're beautiful. We're beautifulWherever it's going, I'm gonna chase it. What's left of this moment, I'm not gonna waste it. Stranded together, our worlds have collided. This won't be forever, so why try to fight it?. We're beautiful now, beautiful nowWe might not know why, we might not know how. But baby, tonight, we're beautiful now. We'll light up the sky, we'll open the clouds. Cause baby, tonight, we're beautiful now, we're beautiful. We're beautifulLet's live tonight like fireflies. And one by one light up the sky. We disappear and pass the crown. You're beautiful, you're beautifulWe're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautifulWe're beautiful, we're beautiful now. We're beautiful now. We're beautiful now. We're beautiful now. We're beautiful nowWe're beautiful"
30,"With my words across your face. You're making up stories of your own. Little bits of white paper. In pockets deeper than you knowYou painted black upon the whitest lies. You've seen them fall, you have seen them rise. You painted black upon the whitest lies, lies, your liesPush play, stop rewind. You drown your heroes in red wine. Push play, stop rewind,. You drown your heroes in red wine. Push play, stop rewind. You drown your heroes in red wine. Push play, stop rewind.You painted black upon the whitest lies. You've seen them fall, you have seen them rise. You painted black upon the whitest lies, lies, your liesPush play, stop rewind. You drown your heroes in red wine. Push play, stop rewind. You drown your heroes in red wineClose enough to see your hands sneaking out of his embrace. Paper thin, whispering, breaking inYou painted black upon the whitest lies. You've seen them fall, you have seen them rise. You painted black upon the whitest lies, lies, your liesPush play, stop rewind. You drown your heroes in red wine. Push play, stop rewind. You drown your heroes in red wine. Push play, stop rewind. You drown your heroes in red wine. Push play, stop rewind. You drown your heroes in red wine(Push play, stop rewind)Push play, stop rewind. You drown your heroes in red wine. Push play, stop rewind"
31,"I see what you're wearing. There's nothing beneath it. Forgive me for breathing. We might not know why,. We might not know how. But baby tonight, we're beautiful now. We might not know why,. We might not know how. But baby tonight, we're beautiful now. We'll light up the sky,. We'll open the clouds. Cause baby tonight,. We're beautiful now We'll light up the sky,. We'll open the clouds. Cause baby tonight,. We're beautiful now We're beautiful nowWe might not know why,. We might not know how. But baby tonight, we're beautiful now. We'll light up the sky,. We'll open the clouds. Cause baby tonight,. We're beautiful nowBeautifulWe're beautiful"
32,"Now we're staring at the ceiling. You're so pretty when you're mad. All that I can hear is breathing. Aaah AaahAnd we're stuck inside the silence. In a cold cold war. We're to proud to say we're sorry. Aaah AaahRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercutRight now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercutI find refuge in the distance. even when we're breaking down. Can we pause it just for one kiss?. Aaah AaahCause I never meant to hurt you. And I know you feel the same. Still the only one I run to. Aaah AaahRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercutRight now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercutRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercut. Right now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercut"
33,"Baby, if you're done with love. who's gonna hold you tonight?. Are you done with love. so they can't hurt you tomorrow?. You don't wanna keep on swimming in the ocean you've cried. But I won't let you drown. I'll pull you back to the shallowCause all I ever really wanted. In this short life was you. Tell me who took your heart away. And do you know it breaks mine when I hear you say. That you're done with love?. Oh, you are done with loveGive me one night to mend the pain. Because the second we touch. You'll forget the day. You were done with love. Oh, you were done with loveIf you were done with loveGive me one night to mend the pain. Because the second we touch. You'll forget the day. You were done with love. Oh, you were done with loveAll I ever really wanted. In this short life was you. All I ever really wanted. In this short life was youGive me one night to mend the pain. Because the second we touch, you'll forget the day. You were done with love. Oh, you were done with loveIf you're done with loveGive me one night to mend the pain. Because the second we touch. You'll forget the day. You were done with love. Oh, you were done with love. You think you're done with love. You think you're done with love. You think you're done with love. You think you're done with love"
34,You light me up. You bring the crowd. I think about this. Every time the stars come outYou light me up. You chase the clouds. I think about this. Every time the stars come outEvery time the stars come out. Every time the stars come out. Every time the stars come out. Every time the stars come outEvery time the stars comeYou light me up. You bring the crowd. I think about this. Every time the stars come outYou light me up. You chase the clouds. I think about this. Every time the stars come outEvery time the stars come out. Every time the stars come out. Every time the stars come out. Every time the stars come outEvery time the stars comeYou light me up. Every time the stars come. You bring the crowd. Every time the stars come out. You light me up. Every time the stars come. You chase the clouds. Every time the stars come out. Every time the stars come out. Every time the stars come out. Every time the stars come out. Every time the stars come out
35,"Now we're staring at the ceiling. You're so pretty when you're mad. All that I can hear is breathing. Aaah AaahAnd we're stuck inside the silence. In a cold cold war. We're to proud to say we're sorry. Aaah AaahRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercutRight now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercutI find refuge in the distance. even when we're breaking down. Can we pause it just for one kiss?. Aaah AaahCause I never meant to hurt you. And I know you feel the same. Still the only one I run to. Aaah AaahRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercutRight now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercutRight now it feels like we're bleeding. So deep that we might not get back up. Our words will tear through the surface. Like a paper, like a papercut. Right now don't know why I love you. But by the morning when we wake up. I'll reach for you and remember. It was just a paper, just a papercut"
