,0
30,"ArtÄ±k Senin OlmadÄ±ÄÄ±n Bu Ev
Benim Cehennemimdir
BÄ±raktÄ±ÄÄ±n Bir YarÄ±m Hayat
Benim Tesellimdir</p>,GÃ¶zyaÅlarÄ±m AkmÄ±yor ArtÄ±k
GÃ¶zyaÅlarÄ±m Senindir.
Bak Ãocuklar HiÃ§ GÃ¼lmÃ¼yor ArtÄ±k
Bunun SuÃ§u Benimdir
Ah Ä°Ã§imde</p>,Sen Giderken EÄilen YÃ¼zÃ¼m
Benim AcizlÄimdir
BastÄ±ÄÄ±n Her KaldÄ±rÄ±m TaÅÄ±
Senin Cinayetindir</p>,Durdurmuyor, HiÃ§ Durmuyor ArtÄ±k
Zaman Felaketimdir
Her gÃ¼n Can AlÄ±p, Her Yeni GÃ¼n Veren
Umut Benim Zehrimdir</p>,Ah Ä°Ã§imde
KÄ±rÄ±k DÃ¶kÃ¼k Bir Can
Yitik Bitik Bir Kalp
YanÄ±k Yenik Bir AÅk Var Ä°Ã§imde</p>,Zifir Siyah Bir His
Feryat Figan Bir Ses
Emanet Bir Nefes Var IÃ§imde
Ah Ä°Ã§im Hep Buruk...</p>,Seni, Sen Giderken Gelen
YaÄmurlara Emanet Ettim
O Ãok SevdiÄin KÄ±r ÃiÃ§eklerine
VazgeÃ§erek Sonbahardan,Seni Taze Ilk Baharlara Emanet Ettim
Seni ÃÄ±kmaz Sokaklardan Uzun Yollara,
KaranlÄ±ktan, AydÄ±nlÄ±Äa Emanet Ettim
Derinlerden, BulutlaraSiyahlardan, Beyazlara Emanet Ettim.
TÃ¼m YazgÄ±larÄ± Silip Ellerimle
Seni BaÅka Bir Kadere Emanet Ettim
Seni Kendimden SakÄ±nÄ±p,Bir BaÅka Kalbe Emanet Ettim
Seni Bir Felaketten Esirgeyip,
Bir Umuda Emanet Ettim.</p>"
31,"Sesame Street
Miscellaneous
One Of These Things (Is Not Like The Others)
One of these things is not like the others,
One of these things just doesn't belong,
Can you tell which thing is not like the others
By the time I finish my song?</p>,Did you guess which thing was not like the others?
Did you guess which thing just doesn't belong?
If you guessed this one is not like the others,
Then you're absolutely... right!</p>,Another version:</p>,Three of these things belong together
Three of these things are kind of the same
Can you guess which one of these doesn't belong here?
Now it's time to play our game (time to play our game).</p>,Bonus Version</p>,Three of these kids belong together
Three of these kids are kind of the same
But one of these kids is doing his (her) own thing
Now it's time to play our game
It's time to play our game.</p>"
32,"Decisions as I go, to anywhere I flow.
Sometimes I believe, at times I'm rational.
I can fly high, I can go low.
Today I got a million,
Tomorrow, I don't know.</p>,Decisions as I go, to anywhere I flow.
Sometimes I believe, at times I'm rational.
I can fly high, I can go low.
Today I got a million, Tomorrow, I don't know.</p>,Stop claiming what you own and think about the show.
We're all playing the same game, waiting on our loan.
We're unknown and known, special and a clone.
Hate will make you cautious, love will make you glow.</p>,Make me feel the warmth
make me feel the cold
It's written in our story
it's written on the walls
This is our call, we rise and we fall
Dancin' in the moonlight,
don't we have it all?</p>,Decisions as I go, to anywhere I flow.
Sometimes I believe, at times I'm rational.
I can fly high, I can go low.
Today I got a million,
Tomorrow, I don't know.</p>,Make me feel the warmth,
make me feel the cold.
It's written in our story,
it's written on the walls
This is our call, we rise and we fall.
Dancin' in the moonlight
don't we have it all?</p>"
33,"We're gonna ri-ri-ri-ri-rise 'til we fall
This time we got no-no-no-no future at all
They wanna ke-ke-keep us down but they can't hold us down anymore
We're gonna ri-ri-ri-ri-rise 'til we fall</p>,When we hit the bottom, then it goes up
Climb to the top with you
We're gonna be the breaks, once whoever waits
Ya I could be talking to you
They tryna hate, hate, hate,
But we won't change, change anything at all
We're gonna ri-ri-ri-ri-rise 'til we fall</p>,They think we just dropped out
Living at my mom's house
Paris must be so proud
They know it all
They don't speak our language
They say we're too savage
No, no we don't need them anymore</p>,We're gonna ri-ri-ri-ri-rise 'til we fall
We're gonna ri-ri-ri-ri-rise 'til we fall
They don't speak our language
They say we're too savage, ya
No, no we don't need them anymore
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise 'til we fall</p>,So we're going no-no-no-no-no-no nowhere
But we they don't know know know is we don't don't care
We're gonna keepin' on, keepin' on going til' we can't go no more
We're gonna ri-ri-ri-ri-rise 'til we fall</p>,When we hit the bottom, then it goes up
Climb to the top with you
We're gonna be the breaks, once whoever waits
Ya I could be talking to you
They tryna hate, hate, hate,
But we won't change, change anything at all
We're gonna ri-ri-ri-ri-rise 'til we fall</p>,They think we just dropped out
Living at our mom's house
Paris must be so proud, they know it all
No, hey don't speak our language
They say we're too savage
No, no we don't give a- anymore</p>,We're gonna ri-ri-ri-ri-rise 'til we fall
We're gonna ri-ri-ri-ri-rise 'til we fall
They don't speak our language
They say we're too savage, ya
No, no we don't give a- anymore
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise
We're gonna ri-ri-ri-ri-rise 'til we fall</p>"
34,"I can't win
I can't reign
I will never win this game
Without you
without you
I am lost</p>,I am vain
I will never be the same
Without you
without you
I won't run
I won't fly</p>,I will never make it by
Without you
without you
I can't rest
I can't fight</p>,All I need is you and I
Without you
without you
Oh oh oh!
You! You! You!
Without...</p>,You! You! You!
Without... you
Can't erase
so I'll take blame
But I can't accept that we're estranged
Without you</p>,without you
I can't quit now
this can't be right
I can't take one more sleepless night
Without you</p>,without you
I won't soar
I won't climb
If you're not here
I'm paralyzed
Without you
without you
I can't look
I'm so blind
I lost my heart
I lost my mind
Without you
without you
Oh oh oh!
You! You! You!
Without...
You! You! You!
Without... you
I am lost, I am vain
I will never be the same
Without you
without you
Without... you</p>"
35,"What color is the sky
Â¡Ay, mi amor! Â¡Ay, mi amor!
You tell me that it's red
Â¡Ay, mi amor! Â¡Ay, mi amor!
Where should I put my shoes
Â¡Ay, mi amor! Â¡Ay, mi amor!
You say put them on your head
Â¡Ay, mi amor! Â¡Ay, mi amor!</p>,You make me
Un poco loco
Un poquititito loco
The way you keep me guessing
I'm nodding and I'm yessing
I'll count it as a blessing
That I'm only
Un poco loco</p>,The loco that you make me
It is just un poco crazy
The sense that you're not making
The liberties you're taking
Leaves my cabeza shaking
You are just
Un poco loco</p>,Un poquititi-ti-ti-ti-ti-ti-ti-ti-ti-ti-ti-ti-to loco!</p>"
36,"Gafflwn Dihenydd, o'r fuddugol yn wiriol sydd.
Ni fydd neb yn ein Drechu, Falch ydy ni i drochu,
Traed o flaen i'r Annwn, mewn y gwybodaeth fe godwn ni.</p>,English Translation:
We cheat Death from his rightful victory.
No one can defeat us. We are glad to plunge
Feet first into hell in the knowledge that we will rise.</p>"
37,"Give me release
Witness me
I am outside
Give me peace</p>,Heaven holds a sense of wonder
And I wanted to believe
That I'd get caught up
When the rage in me subsides</p>,In this white wave
I am sinking
In this silence
In this white wave
In this silence
I believe</p>,I can't help this longing
Comfort me
I can't hold it all in
If you won't let me</p>,Heaven holds a sense of wonder
And I wanted to believe
That I'd get caught up
When the rage in me subsides</p>,In this white wave
I am sinking
In this silence
In this white wave
In this silence
I believe</p>,I have seen you
In this white wave
You are silent
You are breathing
In this white wave
I am free</p>"
38,"Bad boys, whatcha want
Watcha want, whatcha gonna do?
When sheriff John Brown come for you
Tell me whatcha wanna do, whatcha gonna do?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,When you were eight and you had bad traits
You go to school and learn the golden rule
So why are you acting like a bloody fool?
If you get hot, you must get cool</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,You chuck it on that one
You chuck it on this one
You chuck it on your mother
And you chuck it on your father</p>,You chuck it on your brother
And you chuck it on your sister
You chuck it on that one
And you chuck it on me</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Nobody now give you no break
Police now give you no break
Not soldier man give you no break
Not even you idren now give you no breaks</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Why did you have to act so mean?
Don't you know you're human being?
Born of a mother with the love of a father
Reflections come and reflections go
I know sometimes you wanna let go
I know sometimes you want to let go</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,You're too bad, you're too rude
You're too bad, you're too rude</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,You chuck it on that one
You chuck it on this one
You chuck it on your mother
And you chuck it on your father</p>,You chuck it on your brother
And you chuck it on your sister
You chuck it on that one
And you chuck it on me</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>"
39,"
Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Right About Now
'bout now
'bout now
'bout now</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now</p>,
Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
'bout now
'bout now
'bout now
'bout now
'bout now
'bout now
'bout now</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Right... About... Now
Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now
'bout now
about now
about now
about now
about now
about now
about
Right about now</p>,Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now
The Funk Soul Brother, Right About Now
The Funk Soul Brother, Check It Out Now</p>"
40,"I step off the train
I'm walking down your street again
And past your door, but you don't live there anymore
It's years since you've been there
Now you've disappeared somewhere, like outer space
You've found some better place</p>,And I miss you, like the deserts miss the rain
And I miss you, like the deserts miss the rain</p>,Could you be dead?
You always were two steps ahead, of everyone
We'd walk behind while you would run
I look up at your house
And I can almost hear you shout down to me
Where I always used to be</p>,And I miss you, like the deserts miss the rain
And I miss you, like the deserts miss the rain</p>,Back on the train, I ask why did I come again?
Can I confess, I've been hanging round your old address?
And the years have proved
To offer, nothing since you've moved
You're long gone, but I can't move on</p>,And I miss you, like the deserts miss the rain
And I miss you, like the deserts miss the rain
And I miss you</p>,I step off the train
I'm walking down your street again
And past your door, I guess you don't live there anymore
It's years since you've been there
Now you've disappeared somewhere, like outer space
You've found some better place</p>,And I miss you,
And I miss you,
You found some better place</p>,And I miss you, like the deserts miss the rain
And I miss you, yeah, like the deserts miss the rain
And I miss you, and I miss you
Like the deserts miss the rain
And I miss you, yeah, like the deserts miss the rain
The deserts miss the rain
Like the deserts miss the rain
Like the deserts miss the rain,
Like the deserts miss the rain
And I miss you, yeah, like the deserts miss the rain</p>"
41,"I know you moved onto someone new
Hope life is beautiful
You were the life of me to find my truth
I just wanna say, thank you</p>,Leaving to find my soul
Told her I had to go
And I know it ain't pretty
When two hearts get broke
Too young to feel this old
Watching us both turn cold
And I know it ain't pretty
When two hearts get broke
Yeah, I know it ain't pretty
When two hearts get broke</p>,I hope someday
We'll sit down together
And laugh with each other
About these days, these days
All our troubles
We'll lay to rest
And we'll wish we could come back to these days
These days
These days, these days
These days, these days</p>,Three years of ups and downs
Nothing to show for it now
And I know it ain't pretty when the fire burns out
Calling me when I'm drunk
And I know it ain't pretty when you're trying to move on</p>,I hope someday
We'll sit down together
And laugh with each other
About these days, these days
All our troubles
We'll lay to rest
And we'll wish we could come back to these days, these days</p>,Oh I know, I know
Oh I know, I know
Oh I know, I know
These days, these days
Oh I know, I know
Oh I know, I know
Oh I know, I know
To these days, these days</p>,Cigarettes and the ash tray
Reminiscing on those past days
I thought you didn't know my last name
But that changed
And I travelled around the world
Think where you living at now?
I heard you moved to Oxford
Got a new apartment and settled down
And every once in a while
I start texting
Write a paragraph
But then I delete the message
Think 'bout you like a past time
I could cry you a river
Get you baptised or
I wasn't ready to act right
Used to always think I'd get you back, right
They say that things fall apart
We were gonna move to Brooklyn
You were gonna study Art
Love is just a tool
To remind who we are
And that we are not alone
And we're walking in the dark</p>,I hope someday
We'll sit down together
And laugh with each other
About these days, these days
All our troubles
We'll lay to rest
And we'll wish we could come back to these days, these days
We'll wish we could come back to these days, these days</p>"
42,"Express yourself, create the space
You know you can win, don't give up the chase
Beat the man, take him on
You never give up, it's one on one</p>,Express yourself, it's one on one
Express yourself, it's one on one
Express yourself, you can't be wrong
When something's good, it's never gone</p>,Love's got the world in motion
And I know what we can do
Love's got the world in motion
And I can't believe it's true</p>,Now is the time, let everyone see
You never give up, that's how it should be
Don't get caught, make your own play
Express yourself, don't give it away</p>,Express yourself, it's one on one
Express yourself, it's one on one
Express yourself, you can't be wrong
When something's good, it's never gone</p>,Love's got the world in motion
And I know what we can do
Love's got the world in motion
And I can't believe it's true</p>,Love's got the world in motion
And I know what we can do
Love's got the world in motion
And I can't believe it's true</p>,You've got to hold and give, but do it at the right time
You can be slow or fast, but you must get to the line
They'll always hit you and hurt you, defend and attack
There's only one way to beat them, get 'round the back</p>,Catch me if you can 'cause I'm the England man
And what you're lookin' at is the master plan
We ain't no hooligans, this ain't a football song
Three lions on my chest, I know we can't go wrong</p>,We're playing for England
We're playing the song
We're singing for England
Arrivederci, it's one on one</p>,We're playing for England
We're playing the song
We're singing for England
Arrivederci, it's one on one
We're playing for England
We're playing the song
We're singing for England
Arrivederci, it's one on one
We're playing for England
We're playing the song
We're singing for England
Arrivederci, it's one on one</p>"
43,"You were the shadow to my light
Did you feel us?
Another star
You fade away
Afraid our aim is out of sight
Wanna see us
Alight</p>,Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?</p>,Where are you now?
Atlantis
Under the sea
Under the sea
Where are you now?
Another dream
The monster's running wild inside of me
I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded</p>,These shallow waters never met what I needed
I'm letting go a deeper dive
Eternal silence of the sea. I'm breathing alive</p>,Where are you now?
Where are you now?
Under the bright but faded lights
You've set my heart on fire
Where are you now?
Where are you now?</p>,Where are you now?
Atlantis
Under the sea
Under the sea
Where are you now?
Another dream
The monster's running wild inside of me
I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded</p>"
44,"Si me toca escoger entre volverte a ver o aceptar que te fuiste
Yo prefiero fingir que por ti estoy feliz aunque no me escogiste
Si me toca romper todo mi corazÃ³n para atarte a mi vida
Ya tendrÃ© que entender que en las
guerras de amor siempre hay balas perdidas</p>,No me obligues a disimular que quizÃ¡ no te vi si te veo
Porque sabes que lo prometÃ­, aunque si yo fuera tÃº, no me creo
Si me toca borrar cada marca que a ti te dejaron sus besos
Yo prefiero escribirles encima con los que faltan de los nuestros</p>,Pude haber sido yo la que tiene tu corazÃ³n guardado
Pero alguien sin piedad me lo robÃ³
Cuando por fin pensÃ© haberlo atrapado
Â¿Por quÃ© se escapÃ³?
Pude haber sido yo la que a tu lado siempre se despierte
Pero el futuro nunca nos llegÃ³
Me prometÃ­ que nunca iba a perderte y no sÃ© que pasÃ³
Pude haber sido yo
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh</p>,Si me toca esperarte,
Lo harÃ© y no desvanecerÃ© con las horas
(No desvanecerÃ©)
Y aunque llegue alguien mÃ¡s y no te pueda hablar
Es igual que estar sola
SÃ© que me cuesta ver que al final voy a ser yo quien termine herida
Pero debo entender
Que en las guerras de amor siempre hay balas perdidas</p>,Pude haber sido yo la que tiene tu corazÃ³n guardado
Pero alguien sin piedad me lo robÃ³
Cuando por fin pensÃ© haberlo atrapado
Â¿Por quÃ© se escapÃ³?
Pude haber sido yo la que a tu lado siempre se despierte
Pero el futuro nunca nos llegÃ³
Me prometÃ­ que nunca iba a perderte y no sÃ© que pasÃ³
Pude haber sido yo
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh</p>,Pude haber sido yo, pero dejaste un loco enamorado
Buscando un beso tuyo en la estaciÃ³n
Y no hay peor desgracia que extraÃ±ar lo que nunca pasÃ³</p>,Pude haber sido yo la que a tu lado siempre se despierte
Pero el futuro nunca nos llegÃ³ (no llegÃ³)
Me prometÃ­ que nunca iba a perderte y no sÃ© que pasÃ³
Pude haber sido yo (pude haber sido yo)
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor, oh
Si tan sÃ³lo tÃº me hubieras pedido un consejo de amor</p>"
45,"I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough</p>,No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own</p>,Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?</p>,It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me</p>,I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us</p>,Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?</p>,It ain't me, no no
It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)
It ain't me
(The Bowery, whiskey neat, grateful, I'm so grateful)</p>"
46,"Bring! Bring! On the bicycle
Beep! Beep! In the car
Ping! Ping! A submarine</p>,Phew! Phew! helicopter
A choo-choo train
An aeroplane
A ""wee!"" down the slide</p>,I just adore-dore-dore
You every day more
Wherever we are</p>,So up in the sky
And deep in the ocean
Through valleys and hills
Away we go</p>,Bring! Bring! On the bicycle
Beep! Beep! In the car
Ping! Ping! A submarine
Phew! Phew! helicopter
A choo-choo train
An aeroplane
A rocket to the stars!</p>,There's a dance-dance-dance
Going on in my heart
Wherever we are</p>,So up in the sky
And deep in the ocean
Through valleys and hills
Away we go</p>,You little monkey
You're staying up late
Who purrs like a cat
When they get their own
Who then turns into a lion
Who lets out a...</p>,(RAWR!)</p>,I love-love-love
You every day more
Whatever's in store</p>,So up in the sky
And deep in the ocean
Through valleys and hills
Away we go</p>,So up in the sky
And deep in the ocean
Through valleys and hills
Away we go</p>"
47,"Hujan tanpa mendung lumpuhkan hati
Badai tanpa angin hempaskan jiwa
Tak pernah kukira kau 'kan menghilang
Tanpa cerita sebelum kau lenyap</p>,Tak percaya aku tiba dalam petaka
Kau pun menjauh sebelum 'ku mengerti</p>,Luka tak dapat kuhindari
Meski bersembunyi darinya
Engkau telah membunuh mimpiku
'Tuk selamanya denganmu</p>,Percumakah kini kutunggu dirimu?
Tak mungkinkah kita mengulang semuanya?
Mampukah diriku 'tuk bertahan
Dari semua keresahan ini?</p>,Tak percaya aku tiba dalam petaka
Kau pun menjauh sebelum 'ku mengerti</p>,Luka tak dapat kuhindari
Meski bersembunyi darinya
Engkau telah membunuh mimpiku
'Tuk selamanya denganmu</p>,Tak berdaya saat temukan cinta
Telah menghilang darinya</p>,Luka tak dapat kuhindari
Meski bersembunyi darinya
Engkau telah membunuh mimpiku
'Tuk selamanya denganmu
'Tuk selamanya denganmu</p>"
48,"Big Mac,
McDLT,
a Quarter-Pounder with some cheese,
Filet-O-Fish,
a hamburger,
a cheeseburger,
a Happy Meal.
McNuggets,</p>,tasty golden french fries, regular or larger size,
salads: chef or garden, or a chicken salad oriental.
Big Big Breakfast, Egg McMuffin, hot hot cakes, and sausage.
Maybe biscuits, bacon, egg and cheese, a sausage, danish, hash browns too.</p>,And for dessert hot apple pies, and sundaes three varieties,
a soft-serve cone, three kinds of shakes, and chocolatey chip cookies.
And to drink a Coca-Cola, Diet Coke, and orange drink, A Sprite
and coffee, decaf too, A lowfat milk, also an orange juice.
I love McDonald's, good time great taste,
and I get this all at one place...</p>"
49,"Ladies and Gentlemen of the class of '97.
Wear sunscreen.
If I could offer you only one tip for the future, sunscreen would be it.
The long term benefits of sunscreen have been proved by scientists, whereas the rest of my advice has no basis more reliable than my own meandering experience...
I will dispense this advice now.</p>,Enjoy the power and beauty of your youth; oh nevermind; you will not understand the power and beauty of your youth until they have faded.
But trust me, in 20 years you'll look back at photos of yourself and recall in a way you can't grasp now how much possibility lay before you and how fabulous you really looked...
You're not as fat as you Imagine.</p>,Don't worry about the future; or worry, but know that worrying is as effective as trying to solve an algebra equation by chewing bubblegum.
The real troubles in your life are apt to be things that never crossed your worried mind.
The kind that blindside you at 4pm on some idle Tuesday.</p>,Do one thing everyday that scares you.</p>,Sing.</p>,Don't be reckless with other people's hearts, don't put up with people who are reckless with yours.</p>,Floss.</p>,Don't waste your time on jealousy;
Sometimes you're ahead,
Sometimes You're behind.
The race is long, and in the end, it's only with yourself.</p>,Remember the compliments you receive, forget the insults;
If you Succeed in doing this, tell me how.</p>,Keep your old love letters, throw away your old bank statements.</p>,Stretch.</p>,Don't feel guilty if you don't know what you want to do with your
Life.
The most interesting people I know didn't know at 22 what they wanted to do with their lives, some of the most interesting 40 year olds I know still don't.</p>,Get plenty of calcium.</p>,Be kind to your knees, you'll miss them when they're gone.</p>,Maybe you'll marry, maybe you won't, maybe you'll have children, maybe you won't, maybe you'll divorce at 40, maybe you'll dance the funky chicken on your 75th wedding anniversary.
Whatever you do, don't Congratulate yourself too much or berate yourself either.
Your choices are half chance, so are everybody else's.
Enjoy your body, Use it every way you can... Don't be afraid of it, or what other people Think of it,
It's the greatest instrument you'll ever own...</p>,Dance... even if you have nowhere to do it but in your own living room.</p>,Read the directions, even if you don't follow them.</p>,Do NOT read beauty magazines, they will only make you feel ugly.</p>,Brother and sister together we'll make it through
Someday your spirit will take you and guide you there
I know you've been hurting, but I've been waiting to be there
For you.
And I'll be there, just tell me now, whenever I can.
Everybody's free.</p>,Get to know your parents, you never know when they'll be gone for good.</p>,Be nice to your siblings;
They are the best link to your past and the people most likely to stick with you in the future.</p>,Understand that friends come and go, but for the precious few you should hold on.
Work hard to bridge the gaps in geography and lifestyle because the older you get, the more you need the people you knew when you were young.</p>,Live in New York City once, but leave before it makes you hard;
Live in Northern California once, but leave before it makes you soft.</p>,Travel.</p>,Accept certain inalienable truths, prices will rise, politicians will Philander, you too will get old, and when you do you'll fantasize that when you were young prices were reasonable, politicians were noble and children respected their elders.</p>,Respect your elders.</p>,Don't expect anyone else to support you.
Maybe you have a trust fund, Maybe you have a wealthy spouse; but you never know when either one might run out.</p>,Don't mess too much with your hair, or by the time you're 40, it will look 85.</p>,Be careful whose advice you buy, but, be patient with those who supply it. Advice is a form of nostalgia, dispensing it is a way of fishing the past from the disposal, wiping it off, painting over the ugly parts and recycling it for more than it's worth.</p>,But trust me on the sunscreen...</p>,(Brother and sister together we'll make it through
Someday your spirit will take you and guide you there
I know you've been hurting, but I've been waiting to be there
For you. And I'll be there, just tell me now, whenever I can.
Everybody's free.)</p>"
50,"Memories like voices that call in the wind,
medhel an gwyns,
medhel an gwyns.
Whispered and tossed on the tide coming in,
medhel, oh, medhel an gwyns.
Voices like songs that are heard in the dawn,
medhel an gwyns, medhel an gwyns.
Singing the secrets of children unborn,
medhel, oh, medhel an gwyns.</p>,Dreams like the memories once born on the wind,
medhel an gwyns, medhel an gwyns.
Lovers and children and copper and tin,
medhel, oh, medhel an gwyns.
Dreams like the castles that sleep in the sand,
medhel an gwyns, medhel an gwyns.
Slip through the fingers or held in the hand,
medhel, oh, medhel an gwyns.
Songs like the dreams that the bow maiden spins,
medhel an gwyns, medhel an gwyns.</p>,Weaving the song of the cry of the tin,
medhel, oh, medhel an gwyns.
Medhel and gwyns, medhel an gwyns.
Medhel, oh, medhel an gwyns.</p>"
